wikidata,type,text
https://www.wikidata.org/wiki/Q179256,mit,Narciso
https://www.wikidata.org/wiki/Q255448,person,Porcia
https://www.wikidata.org/wiki/Q163920,mit,Adonis
https://www.wikidata.org/wiki/Q47652,mit,Venus
https://www.wikidata.org/wiki/Q164061,mit,Elena
https://www.wikidata.org/wiki/Q167646,mit,Paris
https://www.wikidata.org/wiki/Q187602,mit,Circe
https://www.wikidata.org/wiki/Q38,place,Italia
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q2634,place,Nápoles
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q8409,person,Alejandro
https://www.wikidata.org/wiki/Q1149081,place,Oriente
https://www.wikidata.org/wiki/Q46,place,Europa
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q41,place,Grecia
https://www.wikidata.org/wiki/Q59180,person,Diógenes
https://www.wikidata.org/wiki/Q280872,person,Timón
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q46,place,Europa
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q5723871,place,Baños de la Reina Mora
https://www.wikidata.org/wiki/Q197044,person,Zeusis
https://www.wikidata.org/wiki/Q164061,mit,Elena
https://www.wikidata.org/wiki/Q642200,place,Medina
https://www.wikidata.org/wiki/Q642200,place,Sidonia
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q222702,place,Tarifa
https://www.wikidata.org/wiki/Q15,place,África
https://www.wikidata.org/wiki/Q122248,mit,Heracles
https://www.wikidata.org/wiki/Q15,place,África
https://www.wikidata.org/wiki/Q642200,place,Medina
https://www.wikidata.org/wiki/Q15,place,África
https://www.wikidata.org/wiki/Q22647,place,Troya
https://www.wikidata.org/wiki/Q642200,place,Sidonia
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q179256,mit,Narciso
https://www.wikidata.org/wiki/Q182101,mit,Tántalo
https://www.wikidata.org/wiki/Q220,place,Roma
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q16990,place,Mongibelo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q50193,mit,caballo de Troya
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q641,place,Venecia
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q48444,mit,fénix
https://www.wikidata.org/wiki/Q6008280,place,Mecina
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q311405,person,Laso
https://www.wikidata.org/wiki/Q389233,person,Manrique
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q3392,place,Nilo
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q2656,place,Palermo
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5813,place,Canaria
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q597,place,Lisboa
https://www.wikidata.org/wiki/Q142,place,Francia
https://www.wikidata.org/wiki/Q183,place,alemanes
https://www.wikidata.org/wiki/Q45,place,portugueses
https://www.wikidata.org/wiki/Q2044,place,Florencia
https://www.wikidata.org/wiki/Q486792,place,Aranjuez
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q38,place,Italia
https://www.wikidata.org/wiki/Q163920,mit,Adonis
https://www.wikidata.org/wiki/Q47652,mit,Venus
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q2656,place,Palermo
https://www.wikidata.org/wiki/Q193506,person,Catón
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q22647,place,Troya
https://www.wikidata.org/wiki/Q663792,mit,Sinón
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q1149081,place,Oriente
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q187602,mit,Circe
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q176758,mit,Jasón
https://www.wikidata.org/wiki/Q212262,mit,vellocino
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q187602,mit,Circe
https://www.wikidata.org/wiki/Q142,place,Francia
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q668,place,India
https://www.wikidata.org/wiki/Q38,place,Italia
https://www.wikidata.org/wiki/Q142,place,Francia
https://www.wikidata.org/wiki/Q501768,place,Berbería
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q181360,mit,arpía
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q95088,place,Sevilla
https://www.wikidata.org/wiki/Q179256,mit,Narciso
https://www.wikidata.org/wiki/Q1210,place,Lombardía
https://www.wikidata.org/wiki/Q1091243,place,El laberinto de Creta
https://www.wikidata.org/wiki/Q130818,mit,Atalante
https://www.wikidata.org/wiki/Q69034392,place,el jardín de Falerina
https://www.wikidata.org/wiki/Q1016,place,Libia
https://www.wikidata.org/wiki/Q57751375,place,Arabia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q181360,mit,harpía
https://www.wikidata.org/wiki/Q182559,mit,sirena
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q235113,mit,ángel
https://www.wikidata.org/wiki/Q373916,mit,ninfas
https://www.wikidata.org/wiki/Q142,place,Francia
https://www.wikidata.org/wiki/Q235113,mit,ángel
https://www.wikidata.org/wiki/Q47652,mit,Venus
https://www.wikidata.org/wiki/Q164061,mit,Elena
https://www.wikidata.org/wiki/Q37340,mit,Apolo
https://www.wikidata.org/wiki/Q1150,mit,Mercurio
https://www.wikidata.org/wiki/Q112,mit,Marte
https://www.wikidata.org/wiki/Q132543,mit,Diana
https://www.wikidata.org/wiki/Q132543,mit,Dianas
https://www.wikidata.org/wiki/Q165769,mit,Penélope
https://www.wikidata.org/wiki/Q229432,person,Lucrecia
https://www.wikidata.org/wiki/Q255448,mit,Porcia
